pH,pH_type
4.96,acidic
4.83,acidic
5.64,acidic
4.77,acidic
5.56,acidic
6.07,acidic
5.55,acidic
5.28,acidic
5.64,acidic
5.38,acidic
5.5,acidic
6.07,acidic
5.28,acidic
6.09,acidic
6.02,acidic
5.01,acidic
4.83,acidic
4.87,acidic
4.76,acidic
4.86,acidic
5.7,acidic
4.83,acidic
5.18,acidic
5.93,acidic
4.76,acidic
5.89,acidic
5.13,acidic
4.9,acidic
5.72,acidic
5.62,acidic
5.98,acidic
5.77,acidic
5.87,acidic
5.13,acidic
4.98,acidic
5.8,acidic
5.88,acidic
6.14,acidic
5.32,acidic
5.26,acidic
5.83,acidic
5.21,acidic
6.05,acidic
5.95,acidic
5.34,acidic
5.8,acidic
5.8,acidic
4.88,acidic
6.01,acidic
5.45,acidic
5.9,acidic
5.18,acidic
6.0,acidic
5.28,acidic
4.75,acidic
6.02,acidic
4.86,acidic
5.18,acidic
6.08,acidic
6.08,acidic
5.54,acidic
5.63,acidic
5.37,acidic
5.15,acidic
5.2,acidic
5.68,acidic
5.8,acidic
5.85,acidic
5.85,acidic
4.86,acidic
5.43,acidic
4.81,acidic
5.51,acidic
5.36,acidic
5.99,acidic
5.23,acidic
4.9,acidic
4.93,acidic
5.81,acidic
5.61,acidic
4.87,acidic
4.85,acidic
5.73,acidic
4.83,acidic
5.9,acidic
5.73,acidic
4.85,acidic
4.85,acidic
6.13,acidic
5.26,acidic
5.26,acidic
5.88,acidic
6.08,acidic
6.13,acidic
5.8,acidic
5.26,acidic
4.85,acidic
5.83,acidic
5.52,acidic
5.33,acidic
6.02,acidic
4.89,acidic
5.43,acidic
4.75,acidic
5.4,acidic
4.81,acidic
4.9,acidic
4.9,acidic
5.65,acidic
5.79,acidic
5.56,acidic
6.1,acidic
5.26,acidic
5.14,acidic
5.96,acidic
5.05,acidic
6.1,acidic
4.75,acidic
6.11,acidic
4.79,acidic
6.0,acidic
5.48,acidic
6.14,acidic
4.83,acidic
5.52,acidic
6.11,acidic
5.47,acidic
5.62,acidic
5.72,acidic
5.38,acidic
5.62,acidic
5.56,acidic
6.01,acidic
4.79,acidic
5.13,acidic
6.08,acidic
5.99,acidic
5.38,acidic
5.61,acidic
5.12,acidic
5.0,acidic
5.39,acidic
5.23,acidic
5.56,acidic
4.84,acidic
6.11,acidic
6.13,acidic
5.72,acidic
5.49,acidic
5.17,acidic
5.89,acidic
5.7,acidic
4.96,acidic
6.02,acidic
5.9,acidic
6.08,acidic
5.76,acidic
5.6,acidic
5.32,acidic
6.05,acidic
5.96,acidic
4.79,acidic
4.77,acidic
5.26,acidic
5.88,acidic
6.13,acidic
4.94,acidic
5.57,acidic
5.27,acidic
6.11,acidic
5.93,acidic
5.92,acidic
5.4,acidic
5.32,acidic
5.12,acidic
4.81,acidic
5.96,acidic
5.88,acidic
6.15,acidic
6.15,acidic
5.52,acidic
5.82,acidic
6.07,acidic
5.94,acidic
5.08,acidic
5.37,acidic
4.91,acidic
6.08,acidic
5.59,acidic
5.05,acidic
5.68,acidic
5.61,acidic
5.24,acidic
4.89,acidic
5.68,acidic
5.47,acidic
5.83,acidic
5.47,acidic
5.94,acidic
5.51,acidic
5.53,acidic
5.97,acidic
7.24,alkaline
7.17,alkaline
7.15,alkaline
7.33,alkaline
7.3,alkaline
7.32,alkaline
7.19,alkaline
7.17,alkaline
7.14,alkaline
7.23,alkaline
7.29,alkaline
7.24,alkaline
7.25,alkaline
7.37,alkaline
7.23,alkaline
7.27,alkaline
7.34,alkaline
7.24,alkaline
7.3,alkaline
7.36,alkaline
